name,FLOPs,Params,Inference_time
ei-seg,9.363628032G,16.772386M,9.996288299560547ms
unet,66.683404288G,22.58125M,11.640704154968262ms
unetr,279.74768128G,146.20013M,20.23516845703125ms
vnet,94.947966976G,45.600316M,13.913087844848633ms
er_net,50.70905968G,5.110176M,13.108960151672363ms
re_net,54.363062272G,3.88976M,10.969087600708008ms
res_unet,911.38031616G,28.495584M,55.52332763671875ms
csrnet,187.782004736G,30.412066M,13.15817642211914ms
ei-seg-ablation,55.76982528G,22.439874M,6.219776153564453ms
